,Record Number,Token,predicted,expected
842,1091,2.55,Model,Model
843,1091,Double Flap,Type,Type
844,1091,Shoulder,Type,Type
845,1091,Bag,Type,Type
846,1091,Quilted,Accents,Accents
847,1091,Leather,Material,Material
848,1091,Beige,Color,Color
849,1091,MEDIUM,Size,Size
850,1101,Chanel,Brand,Brand
851,1101,Classic,Model,Model
852,1101,Flap,Type,Type
853,1101,Quilted,Features,Features
854,1101,Lambskin,Material,Material
855,1101,Rectangular,Style,Style
856,1101,Mini,Size,Size
857,1101,Red,Color,Color
858,1111,Judith Leiber,Brand,Brand
859,1111,KARUNG,Material,
860,1111,LIZARD,Pattern,
861,1111,RED,Color,Color
862,1111,CABOCHON,Color,
863,1111,GEMSTONE,Color,
864,1111,HANDBAG,Type,
865,1111,Bag,Type,
866,1111,Purse,Type,Type
867,1111,CLUTCH,Type,Type
868,1121,GUCCI,Brand,Brand
869,1121,Bamboo,Product Line,Product Line
870,1121,Bamboo,Product Line,Product Line
871,1121,Black,Color,Color
872,1121,Brown,Color,Color
873,1121,Leather,Material,Material
874,1121,Bamboo,Product Line,Product Line
875,1121,Bamboo,Product Line,Product Line
876,1121,Women,Department,Department
877,1121,Handbag,Type,Type
878,1131,VALENTINO GARAVANI,Brand,Brand
879,1131,EXOTIC,Model,No Tag
880,1131,CROCODILE,Pattern,Pattern
881,1131,ALLIGATOR,Accents,Pattern
882,1131,JOYLOCK,Closure,Closure
883,1131,BAG,Type,Type
884,1131,BLUE,Color,Color
885,1141,Nixon,Brand,Brand
886,1141,Womens,Department,Department
887,1141,After Hours,Model,Model
888,1141,Hand Bag,Type,Type
889,1141,Grey,Color,Color
890,1151,MARC,Product Line,Product Line
891,1151,MARC JACOBS,Brand,Brand
892,1151,Patent Leather,Material,Material
893,1151,Bag,Type,Type
894,1161,Dooney & Bourke,Brand,Brand
895,1161,Pebble,Pattern,
896,1161,Grain,Material,
897,1161,Celeste,Model,Model
898,1161,Satchel,Type,Type
899,1171,Christian Dior,Brand,Brand
900,1171,Trotter,Model,Model
901,1171,Shoulder,Type,Type
902,1171,Cross Body,Type,Type
903,1171,Bag,Type,Type
904,1171,Canvas,Fabric Type,Fabric Type
905,1171,Blue,Color,Color
906,1181,Burberrys Burberry London,Brand,Brand
907,1181,check,Pattern,Pattern
908,1181,Hand Bag,Type,Type
909,1181,Tote,Type,Type
910,1181,Bag,Type,Type
911,1181,Leather,Material,Material
912,1181,PVC,Material,Material
913,1181,Brown,Color,Color
914,1191,Tory Burch,Brand,Brand
915,1191,Gemini,Model,Model
916,1191,Link,Handle/Strap Material,Handle Style
917,1191,Tote,Type,Type
918,1191,Large XL,Size,Size
919,1191,"16 ""","Measurement, dimension","Measurement, dimension"
920,1191,Purse,Type,Type
921,1191,Bag,Type,Type
922,1201,Louis Vuitton,Brand,Brand
923,1201,Vavin,Model,Model
924,1201,Empreinte,Accents,Accents
925,1201,Black,Color,Color
926,1201,Monogram,Pattern,Pattern
927,1201,Leather,Material,Material
928,1201,Mini,Size,Size
929,1201,Bag,Type,Type
930,1211,womens,Department,Department
931,1211,tote,Type,Type
932,1211,bag,Type,Type
933,1211,PU Leather,Material,Material
934,1211,Brown,Color,Color
935,1211,Polyurethane Leather,Material,Material
936,1211,Vegan,Features,Features
937,1221,3 In 1,Style,Features
938,1221,Purses,Type,Type
939,1221,Handbags,Type,Type
940,1221,Shoulder,Type,Type
941,1221,Crossbody,Type,Type
942,1221,Bags,Type,Type
943,1231,Harley-Davidson,Brand,Brand
944,1231,Mini Me,Model,Model
945,1231,Backpack,Type,Type
946,1231,Rust,Color,Color
947,1241,CHANEL,Brand,Brand
948,1241,Classic,Model,Model
949,1241,Single Flap,Type,Type
950,1241,Small,Size,Size
951,1241,Chain,Handle/Strap Material,Handle/Strap Material
952,1241,Shoulder,Type,Type
953,1241,Bag,Type,Type
954,1241,BK,Product Line,No Tag
955,1241,Lambskin,Material,Material
956,1251,Kate spade,Brand,Brand
957,1251,Ooh La La Poppy,Model,
958,1251,Little,Size,
959,1251,Wkru5526,MPN,MPN
960,1251,Leather,Material,Material
961,1251,Tote,Type,Type
962,1261,Chanel,Brand,Brand
963,1261,dark,Color,Color
964,1261,red,Color,Color
965,1261,Medium,Size,Size
966,1261,Chevron,Pattern,Pattern
967,1261,Le Boy,Product Line,
968,1261,Bag,Type,Type
969,1271,Longchamp,Brand,Brand
970,1271,Le Pliage,Model,Model
971,1271,Nylon,Material,Material
972,1271,Tote,Type,Type
973,1271,Handbag,Type,Type
974,1271,Grey,Color,Color
975,1271,Large,Size,Size
976,1281,GUCCI,Brand,Brand
977,1281,Satin,Material,Material
978,1281,Crystal,Accents,Accents
979,1281,MINI,Size,Size
980,1281,SYLVIE,Model,Model
981,1281,Web,Product Line,Product Line
982,1281,Bag,Type,Type
983,1281,3-Way,Features,Features
984,1281,Top Handle,Handle Style,Handle Style
985,1281,Shoulder,Type,Type
986,1291,Disney Loungefly,Brand,Brand
987,1291,Floral,Pattern,Pattern
988,1291,Satchel,Type,Type
989,1291,Shoulder,Type,Type
990,1291,Bag,Type,Type
991,1291,Crossbody,Type,Type
992,1291,Wallet,Type,Type
993,1301,BOTTEGA VENETA,Brand,Brand
994,1301,INTRECCIATO,Pattern,Pattern
995,1301,HOBO,Type,Type
996,1301,SHOULDER,Type,Type
997,1301,BAG,Type,Type
998,1301,BROWN,Color,Color
999,1311,Anime,Theme,Theme
1000,1311,Backpack,Type,Type
1001,1311,School,Occasion,Occasion
1002,1311,Bag,Type,Type
1003,1311,Spirited Away No Face,Model,
1004,1311,Kawaii,Style,Style
1005,1311,Harajuku,Theme,No Tag
1006,1311,Pastel,Color,Color
1007,1321,Chanel,Brand,Brand
1008,1321,Purple,Color,Color
1009,1321,Rabbit Fur,Material,
1010,1321,Lapin,Model,
1011,1321,CC Logo,Accents,Accents
1012,1321,Chain,Handle/Strap Material,Handle/Strap Material
1013,1321,Small,Size,Size
1014,1321,Zipper,Closure,Closure
1015,1321,Shoulder,Type,Type
1016,1321,Bag,Type,Type
1017,1331,Gucci,Brand,Brand
1018,1331,Shoulder,Type,Type
1019,1331,Bag,Type,Type
1020,1331,Brown,Color,Color
1021,1331,PVC,Material,Material
1022,1341,Make It Happen,Brand,Theme
1023,1341,Cotton,Material,Material
1024,1341,Canvas,Fabric Type,Fabric Type
1025,1341,Tote,Type,Type
1026,1341,Bag,Type,Type
1027,1351,DOONEY & BOURKE,Brand,Brand
1028,1351,CLASSIC,Model,No Tag
1029,1351,A6 Leather,Material,
1030,1351,handbag,Type,Type
1031,1351,purse,Type,Type
1032,1351,satchel,Type,Type
1033,1361,Hypergear,Brand,Obscure
1034,1361,Kangaroo,Theme,Obscure
1035,1361,Mini,Size,Obscure
1036,1361,Purse,Type,Type
1037,1371,Louis Vuitton,Brand,Brand
1038,1371,Epi,Material,Material
1039,1371,Saint Jacques,Model,Model
1040,1371,Hand Bag,Type,Type
1041,1371,Black,Color,Color
1042,1371,M52272,MPN,MPN
1043,1371,LV,Brand,Brand
1044,1381,Gucci,Brand,Brand
1045,1381,Belt,Type,Type
1046,1381,Bag,Type,Type
1047,1381,Fanny Pack,Type,Type
1048,1381,GG,Brand,Brand
1049,1381,Waist,Style,Style
1050,1381,Brown,Color,Color
1051,1381,Canvas,Fabric Type,Fabric Type
1052,1381,Clutch,Type,Type
1053,1381,Factory Sealed,Features,
1054,1391,Michael Kors,Brand,Brand
1055,1391,Crossbody,Type,Type
1056,1391,Bag,Type,Type
1057,1391,Ava,Model,Model
1058,1391,Mini,Size,Size
1059,1391,Saffiano Leather,Material,Material
1060,1391,Misty,Color,Color
1061,1391,Rose,Color,Color
1062,1391,Red,Color,Color
1063,1401,GENUINE BURBERRY,Brand,
1064,1401,CARRYALL,Type,Type
1065,1401,HANDBAG,Type,Type
1066,1401,TOTE,Type,Type
1067,1401,PURSE,Type,Type
1068,1401,MEDIUM,Size,Size
1069,1401,BAG,Type,Type
1070,1411,Vera Bradley,Brand,Brand
1071,1411,FAR OUT FLORAL,Pattern,Pattern
1072,1411,Ditty,Model,No Tag
1073,1411,Bag,Type,Type
1074,1421,Louis Vuitton,Brand,Brand
1075,1421,Damier,Product Line,Product Line
1076,1421,Ebene,Color,Color
1077,1421,Pochette,Product Line,Product Line
1078,1421,Cosmetique,Style,Theme
1079,1421,Cosmetic,Type,Type
1080,1421,Bag,Type,Type
1081,1421,N47516,MPN,
1082,1431,Gucci,Brand,Brand
1083,1431,Soho,Model,Model
1084,1431,Metallic,Color,Color
1085,1431,Light,Color,Color
1086,1431,Gray,Color,Color
1087,1431,Leather,Material,Material
1088,1431,Charm,Accents,Accents
1089,1431,Large,Size,Size
1090,1431,Tote,Type,Type
1091,1431,Chain,Handle/Strap Material,Handle/Strap Material
1092,1431,Shoulder,Type,Type
1093,1431,Bag,Type,Type
1094,1441,ALICE AND OLIVIA,Brand,Brand
1095,1441,TOTE,Type,Type
1096,1441,BAG,Type,Type
1097,1441,WOMEN,Department,Department
1098,1451,Chanel,Brand,Brand
1099,1451,Black,Color,Color
1100,1451,Lambskin,Material,Material
1101,1451,Square,Type,Type
1102,1451,Classic,Model,Model
1103,1451,Mini,Size,Size
1104,1451,Flap,Type,Type
1105,1451,Bag,Type,Type
1106,1451,24K,Hardware Material,Hardware Material
1107,1461,Express,Brand,Brand
1108,1461,Mini,Size,Size
1109,1461,Leather,Material,Material
1110,1461,Shoulder,Type,Type
1111,1461,Bag,Type,Type
1112,1461,Purse,Type,Type
1113,1461,Red,Color,Color
1114,1471,LOUIS VUITTON,Brand,Brand
1115,1471,BEVERLY MM,Model,Model
1116,1471,HAND BAG,Type,Type
1117,1471,FL2067,MPN,MPN
1118,1471,PURSE,Type,Type
1119,1471,MONOGRAM,Pattern,Pattern
1120,1471,CANVAS,Fabric Type,Fabric Type
1121,1471,M40121,MPN,MPN
1122,1481,GUCCI,Brand,Brand
1123,1481,Lamb Skin,Material,Material
1124,1481,Leather,Material,Material
1125,1481,Black,Color,Color
1126,1481,Tote,Type,Type
1127,1481,Bag,Type,Type
1128,1481,Bag,Type,Type
1129,1481,Shoulder,Type,Type
1130,1481,Bag,Type,Type
1131,1481,Bag,Type,Type
1132,1491,BOTTEGA VENETA,Brand,Brand
1133,1491,Intrecciato,Pattern,Pattern
1134,1491,Spinnaker,Model,Model
1135,1491,Belt,Type,Type
1136,1491,Bag Body,Type,
1137,1491,Bag,Type,Type
1138,1491,Bag,Type,Type
1139,1501,MSGM MILANO,Brand,Brand
1140,1501,Women 's,Department,Department
1141,1501,Festival,Occasion,Occasion
1142,1501,Coin Purse,Type,Type
1143,1501,Shoulder,Type,Type
1144,1501,Bag,Type,Type
1145,1511,LOUIS VUITTON,Brand,Brand
1146,1511,MONOGRAM,Pattern,Pattern
1147,1511,PORTER CARTES,Model,Model
1148,1511,CASE,Type,
1149,1511,WALLET,Type,Type
1150,1521,Chanel,Brand,Brand
1151,1521,19,Model,Model
1152,1521,WOC,Type,Type
1153,1521,Pink,Color,Color
1154,1521,Denim,Fabric Type,Fabric Type
1155,1521,Fabric,Material,Material
1156,1521,Leather,Material,Material
1157,1521,Clutch,Type,Type
1158,1521,Mini,Size,Size
1159,1521,O-Bag,Type,Style
1160,1531,Louis Vuitton,Brand,Brand
1161,1531,Clery,Model,Model
1162,1531,Black,Color,Color
1163,1531,Epi Leather,Material,Material
1164,1531,LV,Brand,Brand
1165,1531,Logo,Accents,Accents
1166,1531,Top Handle,Handle Style,Handle Style
1167,1531,Clutch,Type,Type
1168,1531,Shoulder,Type,Type
1169,1531,Bag,Type,Type
1170,1541,Tory Burch,Brand,Brand
1171,1541,Thea,Model,Model
1172,1541,Black,Color,Color
1173,1541,Shoulder,Type,Type
1174,1541,Bag,Type,Type
1175,1541,Crossbody,Type,Type
1176,1541,Purse,Type,Type
1177,1541,BAG,Type,Type
1178,1541,Includded,Accents,No Tag
1179,1551,LOUIS VUITTON,Brand,Brand
1180,1551,Mini,Size,Size
1181,1551,Speedy,Model,Model
1182,1551,Hand Bag,Type,Type
1183,1551,Monogram,Pattern,Pattern
1184,1551,Leather,Material,Material
1185,1551,Brown,Color,Color
1186,1551,France,Country/Region of Manufacture,Country/Region of Manufacture
1187,1551,M41534,MPN,MPN
1188,1561,Moschino Couture,Brand,
1189,1561,Jeremy Scott,Brand,
1190,1561,Padlock,Model,Closure
1191,1561,Handbag,Type,Type
1192,1561,Shoulder,Type,Type
1193,1561,Bag,Type,Type
1194,1571,LOUIS VUITTON,Brand,Brand
1195,1571,ORSAY,Model,Model
1196,1571,CLUCTH,Style,
1197,1571,HAND BAG,Type,
1198,1571,PURSE,Type,Type
1199,1571,MONOGRAM,Pattern,Pattern
1200,1571,CANVAS,Fabric Type,Fabric Type
1201,1571,M51790,MPN,MPN
1202,1581,Louis Vuitton,Brand,Brand
1203,1581,Damier,Product Line,Product Line
1204,1581,Recoleta,Model,Model
1205,1581,Shoulder,Type,Type
1206,1581,Bag,Type,Type
1207,1591,Women 's,Department,Department
1208,1591,PU Leather,Material,Material
1209,1591,Handbag,Type,Type
1210,1591,Crossbody,Type,Type
1211,1591,Tote,Type,Type
1212,1591,Embroidery,Accents,Accents
1213,1591,Shoulder,Type,Type
1214,1591,Lady 's,Department,Department
1215,1591,Bag,Type,Type
1216,1601,CHANEL,Brand,Brand
1217,1601,Iridescent,Accents,Accents
1218,1601,Lambskin,Material,Material
1219,1601,Quilted,Features,Features
1220,1601,Pearl,Accents,Color
1221,1601,Wallet on Chain,Type,Type
1222,1601,WOC,Type,Type
1223,1601,Black,Color,Color
1224,1611,Chanel,Brand,Brand
1225,1611,Biarritz,Model,Model
1226,1611,Shoulder,Type,Type
1227,1611,Black,Color,Color
1228,1611,Coated Canvas,Fabric Type,Fabric Type
1229,1611,GM,Model,Model
1230,1611,Tote,Type,Type
1231,1611,Bag,Type,Type
1232,1611,Pouch,Type,Type
1233,1621,Louis Vuitton,Brand,Brand
1234,1621,TINY,Model,Size
1235,1621,BACKPACK,Type,Type
1236,1621,M80738,MPN,MPN
1237,1621,Monogram,Pattern,Pattern
1238,1621,Empreinte,Accents,Accents
1239,1621,Leather,Material,Material
1240,1631,Michael Kors,Brand,Brand
1241,1631,Selma,Model,Model
1242,1631,Stud,Accents,Accents
1243,1631,Medium,Size,Size
1244,1631,Messenger,Type,Type
1245,1631,Crossbody,Type,Type
1246,1631,Leather,Material,Material
1247,1631,Blush,Color,Color
1248,1641,VERA BRADLEY,Brand,Brand
1249,1641,Wristlet,Handle Style,Handle Style
1250,1641,Wristlet,Handle Style,Handle Style
1251,1641,Purse,Type,Type
1252,1641,Wristlet,Handle Style,Handle Style
1253,1641,Wristlet,Handle Style,Handle Style
1254,1651,LOUIS VUITTON,Brand,Brand
1255,1651,Damier,Product Line,Product Line
1256,1651,Ebene,Color,Color
1257,1651,Trousse,Type,Model
1258,1651,Make Up Hand,Type,
1259,1651,Pouch,Type,Type
1260,1651,N51982,MPN,MPN
1261,1651,LV,Brand,Brand
1262,1661,LOUIS VUITTON,Brand,Brand
1263,1661,Bum,Type,Type
1264,1661,back,Style,No Tag
1265,1661,Waist,Type,Type
1266,1661,bag Body,Type,
1267,1661,bag,Type,Type
1268,1661,bag,Type,Type
1269,1661,M95347,MPN,MPN
1270,1661,Monogram,Pattern,Pattern
1271,1661,denim,Fabric Type,
1272,1661,canvas,Fabric Type,
1273,1661,Blue,Color,Color
1274,1671,Burberry,Brand,Brand
1275,1671,Jessie,Model,Obscure
1276,1671,Check,Pattern,
1277,1671,Card Case,Type,
1278,1671,Bag,Type,Type
1279,1671,Detachable,Features,Features
1280,1671,Strap,Handle Style,Obscure
1281,1681,Gothic,Style,
1282,1681,Waist,Type,Type
1283,1681,Bag,Type,Type
1284,1681,Bag,Type,Type
1285,1681,Leather,Material,Material
1286,1681,Bag,Type,Type
1287,1681,Bag,Type,Type
1288,1681,Hip,Type,Type
1289,1681,Holster,Style,No Tag
1290,1681,Purse,Type,Type
1291,1691,Brahmin,Brand,Brand
1292,1691,Duxbury,Product Line,Product Line
1293,1691,Elmwood Padua,Model,Model
1294,1691,Mossy,Color,Color
1295,1691,Green,Color,Color
1296,1691,Brown,Color,Color
1297,1691,Leather,Material,Material
1298,1691,Bag,Type,Type
1299,1691,Wallet,Type,Type
1300,1701,Marc,Product Line,Product Line
1301,1701,Marc Jacobs,Brand,Brand
1302,1701,What 's The T,Model,Model
1303,1701,Violet,Color,Color
1304,1701,Leather,Material,Material
1305,1701,Tote,Type,Type
1306,1701,Bag,Type,Type
1307,1711,Mini,Size,Size
1308,1711,Mochila,Type,Type
1309,1711,Cruzada,Model,
1310,1711,Cuadros,Pattern,
1311,1711,Mujer,Department,Department
1312,1711,Bolso,Type,
1313,1711,Hombro,Type,
1314,1711,Teléfono,Material,
1315,1721,Prada,Brand,Brand
1316,1721,Cahier,Model,Model
1317,1721,Chain,Handle/Strap Material,Handle/Strap Material
1318,1721,Crossbody,Type,Type
1319,1721,Bag,Type,Type
1320,1721,Metallic,Color,Color
1321,1721,Leather,Material,Material
1322,1721,Saffiano,Material,Material
1323,1721,Small,Size,Size
1324,1731,burberry,Brand,Brand
1325,1731,handbag,Type,Type
1326,1741,YVES SAINT LAURENT,Brand,Brand
1327,1741,Quilted,Accents,Features
1328,1741,Shoulder,Type,Type
1329,1741,Cross Body,Type,Type
1330,1741,Bag,Type,Type
1331,1741,Leather,Material,Material
1332,1741,Black,Color,Color
1333,1751,Vera Bradley,Brand,Brand
1334,1751,PAISLEY WAVE,Model,
1335,1751,Vera,Brand,Brand
1336,1751,Tote,Type,Type
1337,1751,Bag,Type,Type
1338,1751,Large,Size,Size
1339,1751,Shoulder,Type,Type
1340,1751,Purse,Type,Type
1341,1761,Louis Vuitton,Brand,Brand
1342,1761,Wild At Heart,Model,Model
1343,1761,Keepall,Product Line,Product Line
1344,1761,Bandouliere,Type,Type
1345,1761,45,Model,Model
1346,1761,Black,Color,Color
1347,1761,White,Color,Color
1348,1761,Duffle,Type,Type
1349,1761,Travel,Occasion,Occasion
1350,1761,Bag,Type,Type
1351,1771,Louis Vuitton,Brand,Brand
1352,1771,PM,Model,Model
1353,1771,Monogram,Pattern,Pattern
1354,1771,Nimbus,Model,Model
1355,1771,Charcoal,Color,Color
1356,1781,Michael Kors,Brand,Brand
1357,1781,Geneva,Model,Model
1358,1781,Grey,Color,Color
1359,1781,Pebbled,Pattern,Pattern
1360,1781,Leather,Material,Material
1361,1781,Large,Size,Size
1362,1781,Satchel,Type,Type
1363,1781,Shoulder,Type,Type
1364,1781,Bag,Type,Type
1365,1791,LOEWE,Brand,Brand
1366,1791,Gate,Model,Model
1367,1791,Bag,Type,Type
1368,1791,Bag,Type,Type
1369,1791,Small,Size,Size
1370,1791,Beige,Color,Color
1371,1791,Dark,Color,Color
1372,1791,Brown,Color,Color
1373,1791,Leather,Material,Material
1374,1791,Shoulder,Type,Type
1375,1791,Bag,Type,Type
1376,1791,Bag,Type,Type
1377,1801,Multi-pockets,Pocket Type,Features
1378,1801,Felt,Material,Material
1379,1801,Purse,Type,Type
1380,1801,Handbag,Type,Type
1381,1801,Organizer,Type,No Tag
1382,1801,Tote,Type,Type
1383,1801,Liner,Type,No Tag
1384,1801,Bag,Type,Type
1385,1811,CHANEL,Brand,Brand
1386,1811,CC,Brand,Brand
1387,1811,XL,Size,Size
1388,1811,Matelasse,Pattern,Pattern
1389,1811,Chain,Handle/Strap Material,Handle/Strap Material
1390,1811,Shoulder,Type,Type
1391,1811,Bag,Type,Type
1392,1811,Leather,Material,Material
1393,1811,Black,Color,Color
1394,1811,Gold,Color,Color
1395,1821,GUCCI,Brand,Brand
1396,1821,GG,Pattern,Pattern
1397,1821,Hand Bag,Type,Type
1398,1821,PVC Leather,Material,Material
1399,1821,Brown,Color,Color
1400,1821,Gold,Color,Color
1401,1821,Italy,Country/Region of Manufacture,Country/Region of Manufacture
1402,1821,61JC543,MPN,MPN
1403,1831,louis vuittons,Brand,Brand
1404,1831,handbags,Type,Type
1405,1841,Angelkiss,Brand,Brand
1406,1841,Hobo,Type,Type
1407,1841,Purses,Type,Type
1408,1841,Purses,Type,Type
1409,1841,handbags,Type,Type
1410,1841,Women,Department,Department
1411,1841,Women,Department,Department
1412,1841,Satchel,Type,Type
1413,1841,Handbag,Type,Type
1414,1841,Women,Department,Department
1415,1841,Women,Department,Department
1416,1841,Purses,Type,Type
1417,1841,Purses,Type,Type
1418,1841,Large,Size,Size
1419,1851,COACH,Brand,Brand
1420,1851,FINEST,Model,No Tag
1421,1851,SUEDE,Material,Material
1422,1851,BLUE,Color,Color
1423,1851,LG,Size,Size
1424,1851,GALLERY,Model,Model
1425,1851,TOTE,Type,
1426,1851,SHOULDER,Type,Type
1427,1851,BAG,Type,Type
1428,1851,PURSE,Type,Type
1429,1861,Sydney Love,Brand,Brand
1430,1861,Cats and Dogs,Theme,Product Line
1431,1861,Pincher,Model,Model
1432,1861,Clutch,Type,Type
1433,1871,LOUIS VUITTON,Brand,Brand
1434,1871,POCHETTE,Product Line,Product Line
1435,1871,SOLO,Model,Model
1436,1871,BUM,Type,Type
1437,1871,BAG,Type,Type
1438,1871,DAMIER,Product Line,Product Line
1439,1871,AZUR,Color,Color
1440,1871,M9835,MPN,MPN
1441,1881,JUDITH LEIBER,Brand,Brand
1442,1881,POSH,Model,No Tag
1443,1881,HANDLED,Type,Handle Style
1444,1881,JEWELED,Accents,
1445,1881,SWAROVSKI CRYSTAL,Accents,
1446,1881,MINAUDIERE,Style,Style
1447,1881,EVENING,Occasion,Occasion
1448,1881,BAG,Type,Type
1449,1891,Canvas,Fabric Type,Fabric Type
1450,1891,Tote,Type,Type
1451,1891,Satchel,Type,Type
1452,1891,Handbag,Type,Type
1453,1891,Red,Color,Color
1454,1891,Faux Leather,Material,
1455,1891,Zipper,Closure,Closure
1456,1891,Cotton,Material,Material
1457,1901,COACH,Brand,Brand
1458,1901,Beige,Color,Color
1459,1901,Camel,Color,Color
1460,1901,Tan,Color,Color
1461,1901,Leather,Material,Material
1462,1901,Bucket,Type,Type
1463,1901,Drawstring,Closure,Closure
1464,1901,Hobo,Type,Type
1465,1901,Shoulder,Type,Type
1466,1901,Bag,Type,Type
1467,1911,Women 's,Department,Department
1468,1911,Small,Size,Size
1469,1911,Backpack,Type,Type
1470,1911,School,Occasion,Occasion
1471,1911,Back Pack,Type,Type
1472,1911,Mochila Escolar,Model,Model
1473,1911,Bag,Type,Type
1474,1911,Leather,Material,Material
1475,1911,Rucksack,Type,Type
1476,1921,FENDI,Brand,Brand
1477,1921,Zucca,Pattern,Pattern
1478,1921,Mamma,Product Line,Product Line
1479,1921,Baguette,Type,Type
1480,1921,Hand Bag,Type,Type
1481,1921,Brown,Color,Color
1482,1921,Canvas,Fabric Type,Fabric Type
1483,1921,Leather,Material,Material
1484,1931,CHANEL,Brand,Brand
1485,1931,BAG,Type,Type
1486,1931,BAG,Type,Type
1487,1931,SHOULDER,Type,Type
1488,1931,BAG,Type,Type
1489,1931,BAG,Type,Type
1490,1931,MATRASSE,Features,Features
1491,1931,QUILTED,Features,Accents
1492,1931,SINGLE CHAIN,Type,
1493,1941,GOYARD,Brand,Brand
1494,1941,Bag,Type,Type
1495,1951,Handloom,Accents,No Tag
1496,1951,Shoulder,Type,Type
1497,1951,Handbag,Type,Type
1498,1951,Eco Friendly,Features,Features
1499,1951,Student,Department,Department
1500,1951,Shopping,Type,Type
1501,1951,Traveling,Occasion,Occasion
1502,1951,Tote,Type,Type
1503,1951,Bag,Type,Type
1504,1961,Louis Vuitton,Brand,Brand
1505,1961,Vernis,Product Line,Product Line
1506,1961,Leather,Material,Material
1507,1961,Summit Drive,Model,Model
1508,1961,Boston,Type,Type
1509,1961,Bag,Type,Type
1510,1971,GUCCI,Brand,Brand
1511,1971,Bamboo,Product Line,Product Line
1512,1971,2Way,Features,
1513,1971,Hand,Type,
1514,1971,Shoulder,Type,
1515,1971,Bag,Type,
1516,1971,Nylon,Material,Lining Material
1517,1971,Leather,Trim Material,Material
1518,1971,Black,Color,Color
1519,1981,KATE SPADE,Brand,Brand
1520,1981,LEATHER,Material,Material
1521,1981,HANDBAG,Type,Type
1522,1981,FRENCH,Color,Color
1523,1981,GREY,Color,Color
1524,1981,IRVING PLACE,Accents,Product Line
1525,1981,LITTLE NADINE,Color,Model
1526,1991,CHANEL,Brand,Brand
1527,1991,Foulard,Model,Model
1528,1991,Fabric,Material,Material
1529,1991,Quilted,Features,Features
1530,1991,Printed,Features,Features
1531,1991,Backpack,Type,Type
1532,1991,Pink,Color,Color
1533,1991,Shoulder,Type,Type
1534,1991,Bag,Type,Type
1535,2001,Multicolor,Color,Color
1536,2001,Patchwork,Pattern,Pattern
1537,2001,Leather,Material,Material
1538,2001,Women,Department,Department
1539,2001,Backpack,Type,Type
1540,2001,Shoulder,Type,Type
1541,2001,Handbag Bag,Type,Type
1542,2001,QR,Accents,No Tag
1543,2011,Chanel,Brand,Brand
1544,2011,Mini,Size,Size
1545,2011,Wallet On Chain,Type,Type
1546,2011,21C,Model,No Tag
1547,2021,Gucci,Brand,Brand
1548,2021,Printed,Features,Features
1549,2021,Logo,Accents,Accents
1550,2021,Drawstring,Closure,Closure
1551,2021,Red,Color,Color
1552,2021,Leather,Material,Material
1553,2021,Backpack,Type,Type
1554,2031,LOUIS VUITTON,Brand,Brand
1555,2031,READE PM,Model,Model
1556,2031,Hand Bag,Type,Type
1557,2031,Purse,Type,Type
1558,2031,Monogram,Pattern,Pattern
1559,2031,Vernis,Product Line,Product Line
1560,2031,Leather,Material,Material
1561,2031,M91336,MPN,MPN
1562,2031,Perle,Color,No Tag
1563,2041,Coach,Brand,Brand
1564,2041,Hamptons,Model,Model
1565,2041,Carryall,Type,Type
1566,2041,LG,Size,Size
1567,2041,Natural,Color,Color
1568,2041,Tan,Color,Color
1569,2041,Leather,Material,Material
1570,2041,Tote,Type,Type
1571,2041,Bag,Type,Type
1572,2041,Satchel,Type,Type
1573,2051,PURSE,Type,Type
1574,2051,HANDBAG,Type,Type
1575,2051,CAMBODIA,Brand,Country/Region of Manufacture
1576,2051,GREY,Color,Color
1577,2051,BLACK,Color,Color
1578,2051,3 HANDLES,Handle Style,
1579,2051,CROSSBODY,Type,Type
1580,2051,SHOULDER,Type,Type
1581,2051,BAG,Type,Type
1582,2061,Louis Vuitton,Brand,Brand
1583,2061,M69422,MPN,MPN
1584,2061,Petit Sac Plat,Model,
1585,2061,Monogram,Pattern,Pattern
1586,2061,Canvas,Fabric Type,Fabric Type
1587,2061,Shoulder,Type,Type
1588,2061,Bags,Type,Type
1589,2071,COACH,Brand,Brand
1590,2071,LUREX,Product Line,Model
1591,2071,GOLD,Color,Color
1592,2071,CHENILLE,Model,Material
1593,2071,EVENING PARTY,Occasion,Occasion
1594,2071,OCCASION,Pattern,No Tag
1595,2071,FRAMED,Pattern,Style
1596,2071,PURSE,Type,Type
1597,2071,TOTE,Type,Type
1598,2071,BAG,Type,Type
1599,2081,CHANEL,Brand,Brand
1600,2081,Black,Color,Color
1601,2081,Quilted,Accents,Accents
1602,2081,Leather,Material,Material
1603,2081,Large XL,Size,Size
1604,2081,Tote,Type,Type
1605,2081,Bag,Type,Type
1606,2091,Dooney & Bourke,Brand,Brand
1607,2091,It,Model,Model
1608,2091,Medium,Size,Size
1609,2091,Shopper,Type,Type
1610,2091,Tote,Type,Type
1611,2101,CHANEL,Brand,Brand
1612,2101,WHITE,Color,Color
1613,2101,LAMBSKIN,Material,Material
1614,2101,PURSE,Type,Type
1615,2111,GUCCI,Brand,Brand
1616,2111,Velvet,Material,Material
1617,2111,Matelasse,Pattern,Pattern
1618,2111,Medium,Size,Size
1619,2111,GG Marmont,Product Line,Product Line
